"","policyid","latitude","longitude","building_limit","site_deductible","construction","year_built","num_stories","basement","elev_ft","first_floor_elev_ft","rel_elev_ft","floodzone","pre_firm","distance_to_river_ft","stream_order","rand_uni","training","estimated_LR_A","estimated_LR_B"
"1",104843,30.346238737,-81.95214267,279000,1000,"Wood",1985,1,FALSE,74,1,1.1,"X",FALSE,123,1,0.287577520124614,1,0.79740184835372,0.515794737102369
"2",104844,30.31993099,-81.96612272,180000,2500,"Wood",1925,1,FALSE,74.6,3,-2.5,"X",TRUE,221,2,0.788305135443807,1,0.344906462013023,0.113962080861188
"3",104845,30.306684549,-82.01026056,223000,1000,"Masonry",1983,1,FALSE,74.1,1,0.1,"X",FALSE,2449,2,0.4089769218117,1,0.269962391380825,0.353833056421235
"4",104846,30.304550863,-82.00891384,254000,1000,"Wood",1987,2,FALSE,74.7,1,0.2,"X",FALSE,2892,2,0.883017404004931,NA,0.0854451835796999,0.124767273495572
"5",104847,30.304908268,-82.00892228,177000,1000,"Wood",1953,1,FALSE,74.4,1,0,"X",TRUE,2804,2,0.940467284293845,NA,0.10001021663443,0.124077457668752
"6",104848,30.304021912,-81.99404724,139000,1000,"Wood",1945,1,FALSE,76.5,3,-0.4,"X",TRUE,2052,1,0.0455564993899316,1,0.165258611998406,0.181124060522154
"7",104849,30.303514132,-81.99329345,211000,1000,"Masonry",1969,1,FALSE,77.5,1,0,"X",TRUE,2336,1,0.528105488047004,1,0.228411753325922,0.291506986360504
"8",104850,30.303466407,-81.97508417,177000,1000,"Wood",1926,2,FALSE,84,1,3.6,"X",TRUE,1892,1,0.892419044394046,NA,0.0883060932725765,0.239929086641908
"9",104851,30.30976274,-81.97607373,261000,500,"Wood",2003,1,FALSE,78.7,1,-0.9,"X",TRUE,2576,1,0.551435014465824,1,0.0934991243188304,0.0993972404922286
"10",104852,30.303096674,-81.96863787,138000,500,"Masonry",1961,1,FALSE,83.1,1,1.9,"X",TRUE,2135,1,0.456614735303447,1,0.40382794774411,0.853493759910306
"11",104853,30.303621806,-81.96863886,107000,1000,"Masonry",1961,1,FALSE,83,1,1.8,"X",TRUE,2284,1,0.956833345349878,NA,0.285378618939526,0.528682732781536
"12",104854,30.30607951,-81.97488697,167000,1000,"Wood",1933,1,FALSE,80.9,3,1.4,"X",TRUE,2788,1,0.453334156190977,1,0.0619719655068198,0.107027466653984
"13",104855,30.303430001,-81.97993744,351000,2500,"Masonry",1986,1,FALSE,80.7,1,1.2,"X",TRUE,2719,1,0.677570635452867,1,0.281745926480701,0.4615745213555
"14",104856,30.303382216,-81.97767525,194000,1000,"Wood",1926,1,FALSE,83.1,1,3,"X",TRUE,2281,1,0.572633401956409,1,0.0989435882369461,0.24043379327572
"15",104857,30.30541247,-81.979122,161000,1000,"Masonry",1954,1,FALSE,79.3,3,0.5,"X",TRUE,2559,1,0.102924682665616,1,0.15880707411374,0.218997168774018
"16",104858,30.30578362,-81.97912482,159000,1000,"Wood",1990,2,FALSE,79.1,1,0.1,"X",TRUE,2454,1,0.899824970401824,NA,0.287711030031807,0.397095240618135
"17",104859,30.305051919,-81.97966573,181000,1000,"Masonry",1962,1,FALSE,80,1,0.9,"X",TRUE,2566,1,0.24608773435466,1,0.268651116909044,0.421499168406814
"18",104860,30.306355269,-81.98002513,142000,1000,"Masonry",1979,1,FALSE,78.8,1,0.2,"X",TRUE,2113,1,0.0420595335308462,1,0.11774998546835,0.152682376304412
"19",104861,30.306431482,-81.98120518,141000,500,"Wood",1959,1,FALSE,79.3,1,0.9,"X",TRUE,1884,1,0.327920719282702,1,0.106137643732059,0.176058291929846
"20",104862,30.305153071,-81.98119536,173000,2500,"Wood",2000,1,FALSE,80,1,1.1,"X",TRUE,2302,1,0.954503649147227,NA,0.13789340294636,0.195408617142693
"21",104863,30.305400505,-81.98119727,199000,1000,"Wood",2001,1,FALSE,80,1,1.2,"X",TRUE,2220,1,0.889539316063747,NA,0.129087613525524,0.222499346313259
"22",104864,30.304864396,-81.98119316,201000,1000,"Masonry",1968,1,FALSE,80,1,1,"X",TRUE,2399,1,0.6928034061566,1,0.0898474080719383,0.14663577474611
"23",104865,30.304369524,-81.98118936,184000,500,"Wood",1968,2,FALSE,79.9,1,0.7,"X",TRUE,2567,1,0.640506813768297,1,0.214841796835458,0.366516576277581
"24",104866,30.305839456,-81.97433153,138000,1000,"Wood",1991,1,FALSE,81.4,1,1.7,"X",TRUE,2669,1,0.994269776623696,NA,0.13003658505454,0.241388806228608
"25",104867,30.306302008,-81.97338174,150000,1000,"Masonry",1991,1,FALSE,81.2,1,1.6,"X",TRUE,2806,1,0.655705799115822,1,0.29268360231005,0.533546447346939
"26",104868,30.307679208,-81.97775789,160000,1000,"Masonry",1972,1,FALSE,79.2,1,0.2,"X",TRUE,2334,1,0.708530468167737,1,0.0917017892472457,0.119812198402197
"27",104869,30.309480216,-81.97711976,259000,1000,"Masonry",2005,1,FALSE,75.9,1,-2,"X",TRUE,2273,1,0.544066024711356,1,0.260608107605346,0.204514076877476
"28",104870,30.308936222,-81.97709962,156000,1000,"Wood",2003,1,FALSE,77.1,1,-1.2,"X",TRUE,2334,1,0.59414202044718,1,0.139399525389053,0.127641503298187
"29",104871,30.309460674,-81.97797702,153000,1000,"Wood",1999,1,FALSE,75.9,3,-2.1,"X",TRUE,2013,1,0.28915973729454,1,0.0590974096871763,0.0427626180384303
"30",104872,30.306991078,-81.98283887,207000,500,"Masonry",1976,1,FALSE,78.9,1,0.6,"X",TRUE,1496,1,0.147113647311926,1,0.108633511240441,0.17309942500672
"31",104873,30.30766817,-81.97986827,155000,1000,"Masonry",1974,1,FALSE,76.6,1,-1.6,"X",TRUE,1797,1,0.963024232536554,NA,0.108735424213649,0.0915176918786467
"32",104874,30.30796789,-81.97776039,130000,1000,"Wood",1971,1,FALSE,79.2,1,0.2,"X",TRUE,2282,1,0.902299045119435,NA,0.0381686136947319,0.0486736325112284
"33",104875,30.30925316,-81.97287632,229000,2500,"Wood",2007,1,FALSE,80.1,1,1.2,"X",TRUE,2465,1,0.690705278422684,1,0.120965035789232,0.186395585928446
"34",104876,30.306507924,-81.98204235,274000,1000,"Masonry",1959,1,FALSE,79.5,1,1.1,"X",TRUE,1745,1,0.795467417687178,1,0.110817125865523,0.193937995481537
"35",104877,30.307599157,-81.97398633,140000,1000,"Wood",1993,1,FALSE,80.3,1,1.1,"X",TRUE,3054,1,0.0246136845089495,1,0.12076348849792,0.191686250064232
"36",104878,30.307596295,-81.97463753,195000,1000,"Wood",1993,1,FALSE,80,1,0.9,"X",TRUE,3232,1,0.477795971091837,1,0.142861255801061,0.223515894852147
"37",104879,30.298713895,-81.98004062,245000,1000,"Masonry",1979,1,FALSE,84,1,3.3,"X",TRUE,1359,1,0.758459537522867,1,0.270415760642295,0.701478669780031
"38",104880,30.297453254,-81.97908581,283000,1000,"Masonry",1983,1,FALSE,84,1,2.9,"X",TRUE,811,1,0.216407935833558,1,0.272967792568285,0.727993512841169
"39",104881,30.302324602,-81.98110671,142000,1000,"Wood",1925,1,TRUE,79.6,4,0.2,"X",TRUE,2615,1,0.318181007634848,1,0.541837996347478,0.676142737642836
"40",104882,30.299885497,-81.97402361,114000,500,"Wood",1988,1,FALSE,84,1,2.8,"X",TRUE,573,1,0.231625785352662,1,0.320230186076842,0.85716382162928
"41",104883,30.30128051,-81.97729275,150000,1000,"Wood",1903,2,FALSE,84,3,3.4,"X",TRUE,1594,1,0.142800022382289,1,0.0585640880139568,0.154245056640967
"42",104884,30.301636013,-81.97830564,237000,1000,"Masonry",1957,1,FALSE,83.6,1,3.4,"X",TRUE,1888,1,0.414546335814521,1,0.112164365023471,0.285173279712386
"43",104885,30.302068964,-81.9781181,153000,1000,"Masonry",1954,1,FALSE,83.2,1,3.1,"X",TRUE,1980,1,0.413724326295778,1,0.297828098637882,0.715585401543904
"44",104886,30.302534526,-81.98084973,127000,1000,"Wood",1944,1,FALSE,80,3,0.4,"X",TRUE,2628,1,0.368845450924709,1,0.284881254412821,0.371229005689058
"45",104887,30.298425958,-81.98395984,126000,1000,"Wood",1988,1,FALSE,84,1,3.7,"X",TRUE,1732,1,0.152444747742265,1,0.311205011052087,0.753690592763334
"46",104888,30.292544949,-81.98819061,165000,1000,"Masonry",1968,1,FALSE,84,1,2.6,"X",TRUE,473,1,0.13880606344901,1,0.107940635928048,0.28170836084696
"47",104889,30.2923631,-81.9866404,214000,1000,"Masonry",1957,1,FALSE,81.5,1,0.6,"X",TRUE,466,1,0.233034099452198,1,0.485437054830598,0.802302727335515
"48",104890,30.292386696,-82.002063,142000,1000,"Masonry",1977,1,FALSE,78.3,1,0.5,"X",TRUE,1171,1,0.465962450252846,1,1.44746132136727,2.10446450690029
"49",104891,30.287469429,-81.95682809,127000,1000,"Wood",1993,1,FALSE,84,1,-0.1,"X",FALSE,255,2,0.265972640365362,1,0.577089079955239,0.461781992811555
"50",104892,30.200015689,-82.01303954,124000,1000,"Wood",1947,1,FALSE,88.2,3,-2.1,"X",TRUE,1570,2,0.857827715342864,NA,0.888358314815235,0.635838026323678
"51",104893,30.200544824,-82.00597167,197000,1000,"Wood",2001,1,FALSE,89.2,1,1.1,"X",FALSE,3778,2,0.0458311666734517,1,0.463173982764366,0.762816903238934
"52",104894,30.201226143,-82.00940062,224000,1000,"Wood",1993,2,FALSE,89.1,1,0.6,"X",FALSE,2680,2,0.442200074205175,1,0.488557541757747,0.785555749693821
"53",104895,30.203135566,-82.00946738,125000,1000,"Wood",1958,1,FALSE,89.8,3,0.5,"X",TRUE,6478,1,0.798924845643342,1,0.267590827191017,0.353839353490701
"54",104896,30.202846929,-82.01042341,188000,1000,"Masonry",1971,1,FALSE,91.4,1,1,"X",TRUE,6790,1,0.12189925997518,1,0.0332905855596423,0.0532322137100675
"55",104897,30.207843517,-82.01444769,146000,1000,"Masonry",1961,1,FALSE,90.1,1,-1.9,"X",TRUE,1037,2,0.560947983758524,1,0.548738184597825,0.440888950853655
"56",104898,30.207510899,-81.95813554,202000,1000,"Wood",2014,1,FALSE,89.1,1,1.7,"A",FALSE,1593,2,0.20653138961643,1,0.0594498922312872,0.654795474281554
"57",104899,30.208649094,-81.95400558,207000,2500,"Wood",2007,2,FALSE,89.2,1,3,"X",FALSE,4213,1,0.127531650243327,1,0.120332285943466,0.276161135430434
"58",104900,30.209229742,-81.9535507,217000,1000,"Wood",2010,2,FALSE,89.3,1,3.2,"X",FALSE,4454,1,0.753307864302769,1,0.0866512903058129,0.229058701906487
"59",104901,30.209147444,-81.9519,251000,1000,"Wood",2008,2,FALSE,89.3,1,3.6,"X",FALSE,4590,1,0.895045359153301,NA,0.104130262290887,0.282861243004652
"60",104902,30.210601312,-81.95202263,211000,1000,"Masonry",2008,1,FALSE,89.3,1,2.9,"X",FALSE,543,2,0.374462775886059,1,0.0894380317129693,0.239700892910414
"61",104903,30.208958109,-81.95148332,227000,1000,"Wood",2007,2,FALSE,89.2,1,3.7,"X",FALSE,4576,1,0.665115194628015,1,0.104960135388661,0.284120167313624
"62",104904,30.208677435,-81.95092736,275000,1000,"Wood",2012,1,FALSE,89.1,1,3.7,"X",FALSE,4557,1,0.0948406609240919,1,0.455970344812402,1.15048605464694
"63",104905,30.21017253,-81.94991933,245000,1000,"Wood",2009,1,FALSE,89.5,1,4.4,"X",FALSE,5185,1,0.383969637798145,1,0.0972305631546585,0.250334685836759
"64",104906,30.210475477,-81.94966193,243000,1000,"Wood",2009,2,FALSE,90,1,4.7,"X",FALSE,5320,1,0.274383644573391,1,0.0316586462653833,0.0896773932057193
"65",104907,30.210662002,-81.9496331,240000,1000,"Masonry",2009,1,FALSE,90.1,1,4.6,"X",FALSE,5385,1,0.814640038879588,NA,0.0326061904129406,0.0844990856378774
"66",104908,30.210905559,-81.94959922,337000,1000,"Wood",2008,2,FALSE,90.2,1,4.3,"X",FALSE,575,2,0.448516341391951,1,0.0310002585637402,0.0983001447310474
"67",104909,30.211055076,-81.94976884,253000,1000,"Wood",2008,2,FALSE,89.8,1,3.5,"X",FALSE,518,2,0.810064353048801,NA,0.0316068489406678,0.0960170377146771
"68",104910,30.210434198,-81.9508881,265000,500,"Wood",2014,1,FALSE,89.6,1,3.9,"X",FALSE,726,2,0.812389509519562,NA,0.0934598453157449,0.269177715402266
"69",104911,30.210605821,-81.95100892,340000,1000,"Wood",2013,2,FALSE,89.5,1,3.6,"X",FALSE,662,2,0.794342321110889,1,0.030969019736178,0.0946373874138359
"70",104912,30.210765703,-81.95117154,315000,1000,"Wood",2014,1,FALSE,89.3,1,3,"X",FALSE,601,2,0.439831687603146,1,0.035272581614824,0.0969520271464548
"71",104913,30.210885864,-81.95135224,205000,2500,"Wood",2014,1,FALSE,89,1,2.5,"X",FALSE,539,2,0.754475158639252,1,0.0414317324025202,0.095699626323393
"72",104914,30.21103614,-81.9517347,268000,2500,"Wood",2010,2,FALSE,87.6,1,1.4,"X",FALSE,438,2,0.629221131559461,1,0.0347281399355516,0.070563396924667
"73",104915,30.205504384,-81.95607276,209000,1000,"Wood",2015,2,FALSE,89.1,1,2.2,"X",FALSE,2967,1,0.710182401351631,1,0.441622540356124,1.04941400706199
